imname	RA	DEC	EXPTIME
Q01F1V1	15:03:34	-12:52:06	300
Q01F2V1	15:03:31	-14:50:30	300
Q01F3V1	15:03:27	-16:48:53	300
Q01F4V1	15:10:07	-17:46:05	300
Q01F5V1	15:10:07	-15:49:42	300
Q01F6V1	15:10:07	-13:51:18	300
Q01F7V1	15:16:40	-12:52:06	300
Q01F8V1	15:16:43	-14:50:30	300
Q01F9V1	15:16:47	-16:48:53	300
Q01F1V2	15:03:34	-12:52:06	300
Q01F2V2	15:03:31	-14:50:30	300
Q01F3V2	15:03:27	-16:48:53	300
Q01F4V2	15:10:07	-17:46:05	300
Q01F5V2	15:10:07	-15:49:42	300
Q01F6V2	15:10:07	-13:51:18	300
Q01F7V2	15:16:40	-12:52:06	300
Q01F8V2	15:16:43	-14:50:30	300
Q01F9V2	15:16:47	-16:48:53	300
Q01F1V3	15:03:34	-12:52:06	300
Q01F2V3	15:03:31	-14:50:30	300
Q01F3V3	15:03:27	-16:48:53	300
Q01F4V3	15:10:07	-17:46:05	300
Q01F5V3	15:10:07	-15:49:42	300
Q01F6V3	15:10:07	-13:51:18	300
Q01F7V3	15:16:40	-12:52:06	300
Q01F8V3	15:16:43	-14:50:30	300
Q01F9V3	15:16:47	-16:48:53	300
SLEW_QX_QY	15:16:47	-16:48:53	60
