imname	RA	DEC	EXPTIME
Q02F1V1	14:43:36	-17:46:05	300
Q02F2V1	14:43:40	-15:49:42	300
Q02F3V1	14:43:44	-13:51:18	300
Q02F4V1	14:50:18	-12:52:06	300
Q02F5V1	14:50:18	-14:50:30	300
Q02F6V1	14:50:18	-16:48:53	300
Q02F7V1	14:57:00	-17:46:05	300
Q02F8V1	14:56:56	-15:49:42	300
Q02F9V1	14:56:53	-13:51:18	300
Q02F1V2	14:43:36	-17:46:05	300
Q02F2V2	14:43:40	-15:49:42	300
Q02F3V2	14:43:44	-13:51:18	300
Q02F4V2	14:50:18	-12:52:06	300
Q02F5V2	14:50:18	-14:50:30	300
Q02F6V2	14:50:18	-16:48:53	300
Q02F7V2	14:57:00	-17:46:05	300
Q02F8V2	14:56:56	-15:49:42	300
Q02F9V2	14:56:53	-13:51:18	300
Q02F1V3	14:43:36	-17:46:05	300
Q02F2V3	14:43:40	-15:49:42	300
Q02F3V3	14:43:44	-13:51:18	300
Q02F4V3	14:50:18	-12:52:06	300
Q02F5V3	14:50:18	-14:50:30	300
Q02F6V3	14:50:18	-16:48:53	300
Q02F7V3	14:57:00	-17:46:05	300
Q02F8V3	14:56:56	-15:49:42	300
Q02F9V3	14:56:53	-13:51:18	300
SLEW_QX_QY	14:56:53	-13:51:18	60
