imname	RA	DEC	EXPTIME
Q04F1V1	14:03:59	-17:46:05	300
Q04F2V1	14:04:03	-15:49:42	300
Q04F3V1	14:04:06	-13:51:18	300
Q04F4V1	14:10:41	-12:52:06	300
Q04F5V1	14:10:41	-14:50:30	300
Q04F6V1	14:10:41	-16:48:53	300
Q04F7V1	14:17:23	-17:46:05	300
Q04F8V1	14:17:19	-15:49:42	300
Q04F9V1	14:17:15	-13:51:18	300
Q04F1V2	14:03:59	-17:46:05	300
Q04F2V2	14:04:03	-15:49:42	300
Q04F3V2	14:04:06	-13:51:18	300
Q04F4V2	14:10:41	-12:52:06	300
Q04F5V2	14:10:41	-14:50:30	300
Q04F6V2	14:10:41	-16:48:53	300
Q04F7V2	14:17:23	-17:46:05	300
Q04F8V2	14:17:19	-15:49:42	300
Q04F9V2	14:17:15	-13:51:18	300
Q04F1V3	14:03:59	-17:46:05	300
Q04F2V3	14:04:03	-15:49:42	300
Q04F3V3	14:04:06	-13:51:18	300
Q04F4V3	14:10:41	-12:52:06	300
Q04F5V3	14:10:41	-14:50:30	300
Q04F6V3	14:10:41	-16:48:53	300
Q04F7V3	14:17:23	-17:46:05	300
Q04F8V3	14:17:19	-15:49:42	300
Q04F9V3	14:17:15	-13:51:18	300
SLEW_QX_QY	14:17:15	-13:51:18	60
