imname	RA	DEC	EXPTIME
Q03F1V1	15:43:33	-08:03:36	300
Q03F2V1	15:43:31	-10:00:00	300
Q03F3V1	15:43:28	-11:58:23	300
Q03F4V1	15:50:00	-12:57:36	300
Q03F5V1	15:50:00	-10:59:11	300
Q03F6V1	15:50:00	-09:02:48	300
Q03F7V1	15:56:26	-08:03:36	300
Q03F8V1	15:56:28	-10:00:00	300
Q03F9V1	15:56:31	-11:58:23	300
Q03F1V2	15:43:33	-08:03:36	300
Q03F2V2	15:43:31	-10:00:00	300
Q03F3V2	15:43:28	-11:58:23	300
Q03F4V2	15:50:00	-12:57:36	300
Q03F5V2	15:50:00	-10:59:11	300
Q03F6V2	15:50:00	-09:02:48	300
Q03F7V2	15:56:26	-08:03:36	300
Q03F8V2	15:56:28	-10:00:00	300
Q03F9V2	15:56:31	-11:58:23	300
Q03F1V3	15:43:33	-08:03:36	300
Q03F2V3	15:43:31	-10:00:00	300
Q03F3V3	15:43:28	-11:58:23	300
Q03F4V3	15:50:00	-12:57:36	300
Q03F5V3	15:50:00	-10:59:11	300
Q03F6V3	15:50:00	-09:02:48	300
Q03F7V3	15:56:26	-08:03:36	300
Q03F8V3	15:56:28	-10:00:00	300
Q03F9V3	15:56:31	-11:58:23	300
SLEW_QX_QY	15:56:31	-11:58:23	60
