imname	RA	DEC	EXPTIME
Q02F1V1	15:56:31	-08:03:36	300
Q02F2V1	15:56:28	-10:00:00	300
Q02F3V1	15:56:26	-11:58:23	300
Q02F4V1	16:02:57	-12:57:36	300
Q02F5V1	16:02:57	-10:59:11	300
Q02F6V1	16:02:57	-09:02:48	300
Q02F7V1	16:09:24	-08:03:36	300
Q02F8V1	16:09:26	-10:00:00	300
Q02F9V1	16:09:29	-11:58:23	300
Q02F1V2	15:56:31	-08:03:36	300
Q02F2V2	15:56:28	-10:00:00	300
Q02F3V2	15:56:26	-11:58:23	300
Q02F4V2	16:02:57	-12:57:36	300
Q02F5V2	16:02:57	-10:59:11	300
Q02F6V2	16:02:57	-09:02:48	300
Q02F7V2	16:09:24	-08:03:36	300
Q02F8V2	16:09:26	-10:00:00	300
Q02F9V2	16:09:29	-11:58:23	300
Q02F1V3	15:56:31	-08:03:36	300
Q02F2V3	15:56:28	-10:00:00	300
Q02F3V3	15:56:26	-11:58:23	300
Q02F4V3	16:02:57	-12:57:36	300
Q02F5V3	16:02:57	-10:59:11	300
Q02F6V3	16:02:57	-09:02:48	300
Q02F7V3	16:09:24	-08:03:36	300
Q02F8V3	16:09:26	-10:00:00	300
Q02F9V3	16:09:29	-11:58:23	300
SLEW_QX_QY	16:09:29	-11:58:23	60
