imname	RA	DEC	EXPTIME
Q04F1V1	15:30:35	-08:03:36	300
Q04F2V1	15:30:33	-10:00:00	300
Q04F3V1	15:30:30	-11:58:23	300
Q04F4V1	15:37:02	-12:57:36	300
Q04F5V1	15:37:02	-10:59:11	300
Q04F6V1	15:37:02	-09:02:48	300
Q04F7V1	15:43:28	-08:03:36	300
Q04F8V1	15:43:31	-10:00:00	300
Q04F9V1	15:43:33	-11:58:23	300
Q04F1V2	15:30:35	-08:03:36	300
Q04F2V2	15:30:33	-10:00:00	300
Q04F3V2	15:30:30	-11:58:23	300
Q04F4V2	15:37:02	-12:57:36	300
Q04F5V2	15:37:02	-10:59:11	300
Q04F6V2	15:37:02	-09:02:48	300
Q04F7V2	15:43:28	-08:03:36	300
Q04F8V2	15:43:31	-10:00:00	300
Q04F9V2	15:43:33	-11:58:23	300
Q04F1V3	15:30:35	-08:03:36	300
Q04F2V3	15:30:33	-10:00:00	300
Q04F3V3	15:30:30	-11:58:23	300
Q04F4V3	15:37:02	-12:57:36	300
Q04F5V3	15:37:02	-10:59:11	300
Q04F6V3	15:37:02	-09:02:48	300
Q04F7V3	15:43:28	-08:03:36	300
Q04F8V3	15:43:31	-10:00:00	300
Q04F9V3	15:43:33	-11:58:23	300
SLEW_QX_QY	15:43:33	-11:58:23	60
