imname	RA	DEC	EXPTIME
Q58F1V1	15:06:31	-03:36:37	40
Q58F2V1	15:06:31	-05:33:01	40
Q58F3V1	15:12:56	-06:32:13	40
Q58F4V1	15:12:55	-04:35:49	40
Q58F1V2	15:06:31	-03:36:37	40
Q58F2V2	15:06:31	-05:33:01	40
Q58F3V2	15:12:56	-06:32:13	40
Q58F4V2	15:12:55	-04:35:49	40
Q58F1V3	15:06:31	-03:36:37	40
Q58F2V3	15:06:31	-05:33:01	40
Q58F3V3	15:12:56	-06:32:13	40
Q58F4V3	15:12:55	-04:35:49	40
Q58F1V4	15:06:31	-03:36:37	40
Q58F2V4	15:06:31	-05:33:01	40
Q58F3V4	15:12:56	-06:32:13	40
Q58F4V4	15:12:55	-04:35:49	40
Q58F1V5	15:06:31	-03:36:37	40
Q58F2V5	15:06:31	-05:33:01	40
Q58F3V5	15:12:56	-06:32:13	40
Q58F4V5	15:12:55	-04:35:49	40
SLEW_QX_QY	15:12:55	-04:35:49	60
