UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	11.339
2014-04-30 00:00:00	5.237
2014-04-30 00:30:00	3.350
2014-04-30 01:00:00	2.483
2014-04-30 01:30:00	1.996
2014-04-30 02:00:00	1.691
2014-04-30 02:30:00	1.487
2014-04-30 03:00:00	1.347
2014-04-30 03:30:00	1.249
2014-04-30 04:00:00	1.183
2014-04-30 04:30:00	1.141
2014-04-30 05:00:00	1.121
2014-04-30 05:30:00	1.119
2014-04-30 06:00:00	1.135
2014-04-30 06:30:00	1.172
2014-04-30 07:00:00	1.233
2014-04-30 07:30:00	1.323
2014-04-30 08:00:00	1.452
2014-04-30 08:30:00	1.640
2014-04-30 09:00:00	1.918
2014-04-30 09:30:00	2.356
2014-04-30 10:00:00	3.112
2014-04-30 10:30:00	4.668
2014-04-30 11:00:00	9.231
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
