UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	7.011
2014-04-30 00:00:00	4.008
2014-04-30 00:30:00	2.822
2014-04-30 01:00:00	2.204
2014-04-30 01:30:00	1.833
2014-04-30 02:00:00	1.592
2014-04-30 02:30:00	1.428
2014-04-30 03:00:00	1.316
2014-04-30 03:30:00	1.239
2014-04-30 04:00:00	1.191
2014-04-30 04:30:00	1.165
2014-04-30 05:00:00	1.160
2014-04-30 05:30:00	1.175
2014-04-30 06:00:00	1.212
2014-04-30 06:30:00	1.273
2014-04-30 07:00:00	1.366
2014-04-30 07:30:00	1.501
2014-04-30 08:00:00	1.698
2014-04-30 08:30:00	1.994
2014-04-30 09:00:00	2.465
2014-04-30 09:30:00	3.297
2014-04-30 10:00:00	5.081
2014-04-30 10:30:00	10.718
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
