UTC	Airmass
2014-04-29 22:30:00	2.815
2014-04-29 23:00:00	2.197
2014-04-29 23:30:00	1.815
2014-04-30 00:00:00	1.561
2014-04-30 00:30:00	1.383
2014-04-30 01:00:00	1.256
2014-04-30 01:30:00	1.163
2014-04-30 02:00:00	1.097
2014-04-30 02:30:00	1.051
2014-04-30 03:00:00	1.023
2014-04-30 03:30:00	1.009
2014-04-30 04:00:00	1.009
2014-04-30 04:30:00	1.023
2014-04-30 05:00:00	1.053
2014-04-30 05:30:00	1.099
2014-04-30 06:00:00	1.166
2014-04-30 06:30:00	1.260
2014-04-30 07:00:00	1.389
2014-04-30 07:30:00	1.569
2014-04-30 08:00:00	1.827
2014-04-30 08:30:00	2.215
2014-04-30 09:00:00	2.844
2014-04-30 09:30:00	4.006
2014-04-30 10:00:00	6.722
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
