UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	6.284
2014-04-29 23:30:00	3.747
2014-04-30 00:00:00	2.685
2014-04-30 00:30:00	2.116
2014-04-30 01:00:00	1.768
2014-04-30 01:30:00	1.539
2014-04-30 02:00:00	1.383
2014-04-30 02:30:00	1.274
2014-04-30 03:00:00	1.200
2014-04-30 03:30:00	1.151
2014-04-30 04:00:00	1.125
2014-04-30 04:30:00	1.117
2014-04-30 05:00:00	1.128
2014-04-30 05:30:00	1.159
2014-04-30 06:00:00	1.212
2014-04-30 06:30:00	1.292
2014-04-30 07:00:00	1.409
2014-04-30 07:30:00	1.576
2014-04-30 08:00:00	1.823
2014-04-30 08:30:00	2.202
2014-04-30 09:00:00	2.836
2014-04-30 09:30:00	4.059
2014-04-30 10:00:00	7.200
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
