imname	RA	DEC	EXPTIME
Q2F1V1	13:36:52	-03:36:37	40
Q2F2V1	13:36:51	-05:33:01	40
Q2F3V1	13:43:16	-06:32:13	40
Q2F4V1	13:43:16	-04:35:49	40
Q2F1V2	13:36:52	-03:36:37	40
Q2F2V2	13:36:51	-05:33:01	40
Q2F3V2	13:43:16	-06:32:13	40
Q2F4V2	13:43:16	-04:35:49	40
Q2F1V3	13:36:52	-03:36:37	40
Q2F2V3	13:36:51	-05:33:01	40
Q2F3V3	13:43:16	-06:32:13	40
Q2F4V3	13:43:16	-04:35:49	40
Q2F1V4	13:36:52	-03:36:37	40
Q2F2V4	13:36:51	-05:33:01	40
Q2F3V4	13:43:16	-06:32:13	40
Q2F4V4	13:43:16	-04:35:49	40
Q2F1V5	13:36:52	-03:36:37	40
Q2F2V5	13:36:51	-05:33:01	40
Q2F3V5	13:43:16	-06:32:13	40
Q2F4V5	13:43:16	-04:35:49	40
SLEW_QX_QY	13:43:16	-04:35:49	60
