UTC	Airmass
2014-04-29 22:30:00	3.905
2014-04-29 23:00:00	2.759
2014-04-29 23:30:00	2.150
2014-04-30 00:00:00	1.781
2014-04-30 00:30:00	1.538
2014-04-30 01:00:00	1.370
2014-04-30 01:30:00	1.252
2014-04-30 02:00:00	1.169
2014-04-30 02:30:00	1.112
2014-04-30 03:00:00	1.076
2014-04-30 03:30:00	1.058
2014-04-30 04:00:00	1.057
2014-04-30 04:30:00	1.072
2014-04-30 05:00:00	1.104
2014-04-30 05:30:00	1.157
2014-04-30 06:00:00	1.234
2014-04-30 06:30:00	1.345
2014-04-30 07:00:00	1.501
2014-04-30 07:30:00	1.727
2014-04-30 08:00:00	2.066
2014-04-30 08:30:00	2.615
2014-04-30 09:00:00	3.616
2014-04-30 09:30:00	5.907
2014-04-30 10:00:00	13.222
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
