UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	6.922
2014-04-30 00:00:00	3.979
2014-04-30 00:30:00	2.795
2014-04-30 01:00:00	2.171
2014-04-30 01:30:00	1.794
2014-04-30 02:00:00	1.547
2014-04-30 02:30:00	1.377
2014-04-30 03:00:00	1.257
2014-04-30 03:30:00	1.172
2014-04-30 04:00:00	1.114
2014-04-30 04:30:00	1.078
2014-04-30 05:00:00	1.059
2014-04-30 05:30:00	1.056
2014-04-30 06:00:00	1.071
2014-04-30 06:30:00	1.102
2014-04-30 07:00:00	1.154
2014-04-30 07:30:00	1.230
2014-04-30 08:00:00	1.339
2014-04-30 08:30:00	1.493
2014-04-30 09:00:00	1.715
2014-04-30 09:30:00	2.049
2014-04-30 10:00:00	2.586
2014-04-30 10:30:00	3.558
2014-04-30 11:00:00	5.757
2014-04-30 11:30:00	12.902
2014-04-30 12:00:00	13.333
