imname	RA	DEC	EXPTIME
Q33F1V1	14:28:05	00:19:49	40
Q33F2V1	14:28:05	-01:38:13	40
Q33F3V1	14:34:28	-02:37:25	40
Q33F4V1	14:34:28	-00:39:01	40
Q33F1V2	14:28:05	00:19:49	40
Q33F2V2	14:28:05	-01:38:13	40
Q33F3V2	14:34:28	-02:37:25	40
Q33F4V2	14:34:28	-00:39:01	40
Q33F1V3	14:28:05	00:19:49	40
Q33F2V3	14:28:05	-01:38:13	40
Q33F3V3	14:34:28	-02:37:25	40
Q33F4V3	14:34:28	-00:39:01	40
Q33F1V4	14:28:05	00:19:49	40
Q33F2V4	14:28:05	-01:38:13	40
Q33F3V4	14:34:28	-02:37:25	40
Q33F4V4	14:34:28	-00:39:01	40
Q33F1V5	14:28:05	00:19:49	40
Q33F2V5	14:28:05	-01:38:13	40
Q33F3V5	14:34:28	-02:37:25	40
Q33F4V5	14:34:28	-00:39:01	40
SLEW_QX_QY	14:34:28	-00:39:01	60
