UTC	Airmass
2014-04-29 22:30:00	7.400
2014-04-29 23:00:00	4.200
2014-04-29 23:30:00	2.921
2014-04-30 00:00:00	2.250
2014-04-30 00:30:00	1.845
2014-04-30 01:00:00	1.579
2014-04-30 01:30:00	1.396
2014-04-30 02:00:00	1.265
2014-04-30 02:30:00	1.171
2014-04-30 03:00:00	1.105
2014-04-30 03:30:00	1.059
2014-04-30 04:00:00	1.031
2014-04-30 04:30:00	1.019
2014-04-30 05:00:00	1.021
2014-04-30 05:30:00	1.038
2014-04-30 06:00:00	1.072
2014-04-30 06:30:00	1.123
2014-04-30 07:00:00	1.198
2014-04-30 07:30:00	1.302
2014-04-30 08:00:00	1.448
2014-04-30 08:30:00	1.654
2014-04-30 09:00:00	1.956
2014-04-30 09:30:00	2.426
2014-04-30 10:00:00	3.235
2014-04-30 10:30:00	4.885
2014-04-30 11:00:00	9.592
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
