imname	RA	DEC	EXPTIME
Q28F1V1	14:15:06	-11:26:13	40
Q28F2V1	14:15:04	-13:24:37	40
Q28F3V1	14:21:39	-14:23:49	40
Q28F4V1	14:21:37	-12:25:25	40
Q28F1V2	14:15:06	-11:26:13	40
Q28F2V2	14:15:04	-13:24:37	40
Q28F3V2	14:21:39	-14:23:49	40
Q28F4V2	14:21:37	-12:25:25	40
Q28F1V3	14:15:06	-11:26:13	40
Q28F2V3	14:15:04	-13:24:37	40
Q28F3V3	14:21:39	-14:23:49	40
Q28F4V3	14:21:37	-12:25:25	40
Q28F1V4	14:15:06	-11:26:13	40
Q28F2V4	14:15:04	-13:24:37	40
Q28F3V4	14:21:39	-14:23:49	40
Q28F4V4	14:21:37	-12:25:25	40
Q28F1V5	14:15:06	-11:26:13	40
Q28F2V5	14:15:04	-13:24:37	40
Q28F3V5	14:21:39	-14:23:49	40
Q28F4V5	14:21:37	-12:25:25	40
SLEW_QX_QY	14:21:37	-12:25:25	60
