UTC	Airmass
2014-04-29 22:30:00	9.429
2014-04-29 23:00:00	4.994
2014-04-29 23:30:00	3.343
2014-04-30 00:00:00	2.514
2014-04-30 00:30:00	2.024
2014-04-30 01:00:00	1.707
2014-04-30 01:30:00	1.489
2014-04-30 02:00:00	1.333
2014-04-30 02:30:00	1.220
2014-04-30 03:00:00	1.138
2014-04-30 03:30:00	1.078
2014-04-30 04:00:00	1.038
2014-04-30 04:30:00	1.013
2014-04-30 05:00:00	1.002
2014-04-30 05:30:00	1.005
2014-04-30 06:00:00	1.021
2014-04-30 06:30:00	1.051
2014-04-30 07:00:00	1.098
2014-04-30 07:30:00	1.166
2014-04-30 08:00:00	1.259
2014-04-30 08:30:00	1.386
2014-04-30 09:00:00	1.562
2014-04-30 09:30:00	1.812
2014-04-30 10:00:00	2.183
2014-04-30 10:30:00	2.772
2014-04-30 11:00:00	3.822
2014-04-30 11:30:00	6.115
2014-04-30 12:00:00	12.824
