UTC	Airmass
2014-04-29 22:30:00	12.629
2014-04-29 23:00:00	5.658
2014-04-29 23:30:00	3.520
2014-04-30 00:00:00	2.566
2014-04-30 00:30:00	2.037
2014-04-30 01:00:00	1.708
2014-04-30 01:30:00	1.488
2014-04-30 02:00:00	1.335
2014-04-30 02:30:00	1.228
2014-04-30 03:00:00	1.152
2014-04-30 03:30:00	1.101
2014-04-30 04:00:00	1.070
2014-04-30 04:30:00	1.056
2014-04-30 05:00:00	1.059
2014-04-30 05:30:00	1.078
2014-04-30 06:00:00	1.116
2014-04-30 06:30:00	1.174
2014-04-30 07:00:00	1.260
2014-04-30 07:30:00	1.380
2014-04-30 08:00:00	1.552
2014-04-30 08:30:00	1.802
2014-04-30 09:00:00	2.184
2014-04-30 09:30:00	2.817
2014-04-30 10:00:00	4.026
2014-04-30 10:30:00	7.061
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
