imname	RA	DEC	EXPTIME
Q19F1V1	14:02:18	-07:31:25	40
Q19F2V1	14:02:17	-09:29:49	40
Q19F3V1	14:08:46	-10:27:01	40
Q19F4V1	14:08:45	-08:30:37	40
Q19F1V2	14:02:18	-07:31:25	40
Q19F2V2	14:02:17	-09:29:49	40
Q19F3V2	14:08:46	-10:27:01	40
Q19F4V2	14:08:45	-08:30:37	40
Q19F1V3	14:02:18	-07:31:25	40
Q19F2V3	14:02:17	-09:29:49	40
Q19F3V3	14:08:46	-10:27:01	40
Q19F4V3	14:08:45	-08:30:37	40
Q19F1V4	14:02:18	-07:31:25	40
Q19F2V4	14:02:17	-09:29:49	40
Q19F3V4	14:08:46	-10:27:01	40
Q19F4V4	14:08:45	-08:30:37	40
Q19F1V5	14:02:18	-07:31:25	40
Q19F2V5	14:02:17	-09:29:49	40
Q19F3V5	14:08:46	-10:27:01	40
Q19F4V5	14:08:45	-08:30:37	40
SLEW_QX_QY	14:08:45	-08:30:37	60
