UTC	Airmass
2014-04-29 22:30:00	4.777
2014-04-29 23:00:00	3.159
2014-04-29 23:30:00	2.375
2014-04-30 00:00:00	1.921
2014-04-30 00:30:00	1.632
2014-04-30 01:00:00	1.436
2014-04-30 01:30:00	1.299
2014-04-30 02:00:00	1.202
2014-04-30 02:30:00	1.134
2014-04-30 03:00:00	1.090
2014-04-30 03:30:00	1.064
2014-04-30 04:00:00	1.055
2014-04-30 04:30:00	1.063
2014-04-30 05:00:00	1.088
2014-04-30 05:30:00	1.131
2014-04-30 06:00:00	1.197
2014-04-30 06:30:00	1.292
2014-04-30 07:00:00	1.426
2014-04-30 07:30:00	1.618
2014-04-30 08:00:00	1.900
2014-04-30 08:30:00	2.341
2014-04-30 09:00:00	3.097
2014-04-30 09:30:00	4.634
2014-04-30 10:00:00	9.029
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
