UTC	Airmass
2014-04-29 22:30:00	6.425
2014-04-29 23:00:00	3.808
2014-04-29 23:30:00	2.725
2014-04-30 00:00:00	2.148
2014-04-30 00:30:00	1.798
2014-04-30 01:00:00	1.568
2014-04-30 01:30:00	1.412
2014-04-30 02:00:00	1.305
2014-04-30 02:30:00	1.232
2014-04-30 03:00:00	1.186
2014-04-30 03:30:00	1.163
2014-04-30 04:00:00	1.161
2014-04-30 04:30:00	1.178
2014-04-30 05:00:00	1.218
2014-04-30 05:30:00	1.282
2014-04-30 06:00:00	1.380
2014-04-30 06:30:00	1.521
2014-04-30 07:00:00	1.728
2014-04-30 07:30:00	2.039
2014-04-30 08:00:00	2.541
2014-04-30 08:30:00	3.441
2014-04-30 09:00:00	5.440
2014-04-30 09:30:00	12.035
2014-04-30 10:00:00	13.333
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
