UTC	Airmass
2014-04-29 22:30:00	4.124
2014-04-29 23:00:00	2.871
2014-04-29 23:30:00	2.217
2014-04-30 00:00:00	1.822
2014-04-30 00:30:00	1.563
2014-04-30 01:00:00	1.386
2014-04-30 01:30:00	1.260
2014-04-30 02:00:00	1.170
2014-04-30 02:30:00	1.107
2014-04-30 03:00:00	1.066
2014-04-30 03:30:00	1.042
2014-04-30 04:00:00	1.034
2014-04-30 04:30:00	1.042
2014-04-30 05:00:00	1.065
2014-04-30 05:30:00	1.106
2014-04-30 06:00:00	1.169
2014-04-30 06:30:00	1.258
2014-04-30 07:00:00	1.383
2014-04-30 07:30:00	1.560
2014-04-30 08:00:00	1.816
2014-04-30 08:30:00	2.207
2014-04-30 09:00:00	2.855
2014-04-30 09:30:00	4.091
2014-04-30 10:00:00	7.185
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
