UTC	Airmass
2014-04-29 22:30:00	13.150
2014-04-29 23:00:00	5.824
2014-04-29 23:30:00	3.589
2014-04-30 00:00:00	2.616
2014-04-30 00:30:00	2.084
2014-04-30 01:00:00	1.757
2014-04-30 01:30:00	1.541
2014-04-30 02:00:00	1.393
2014-04-30 02:30:00	1.292
2014-04-30 03:00:00	1.224
2014-04-30 03:30:00	1.181
2014-04-30 04:00:00	1.162
2014-04-30 04:30:00	1.162
2014-04-30 05:00:00	1.183
2014-04-30 05:30:00	1.226
2014-04-30 06:00:00	1.295
2014-04-30 06:30:00	1.398
2014-04-30 07:00:00	1.548
2014-04-30 07:30:00	1.767
2014-04-30 08:00:00	2.100
2014-04-30 08:30:00	2.643
2014-04-30 09:00:00	3.642
2014-04-30 09:30:00	5.966
2014-04-30 10:00:00	13.333
2014-04-30 10:30:00	13.333
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
