UTC	Airmass
2014-04-29 22:30:00	2.945
2014-04-29 23:00:00	2.286
2014-04-29 23:30:00	1.879
2014-04-30 00:00:00	1.608
2014-04-30 00:30:00	1.419
2014-04-30 01:00:00	1.283
2014-04-30 01:30:00	1.183
2014-04-30 02:00:00	1.111
2014-04-30 02:30:00	1.060
2014-04-30 03:00:00	1.026
2014-04-30 03:30:00	1.007
2014-04-30 04:00:00	1.001
2014-04-30 04:30:00	1.009
2014-04-30 05:00:00	1.031
2014-04-30 05:30:00	1.068
2014-04-30 06:00:00	1.123
2014-04-30 06:30:00	1.200
2014-04-30 07:00:00	1.306
2014-04-30 07:30:00	1.451
2014-04-30 08:00:00	1.653
2014-04-30 08:30:00	1.944
2014-04-30 09:00:00	2.387
2014-04-30 09:30:00	3.119
2014-04-30 10:00:00	4.515
2014-04-30 10:30:00	7.976
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
