imname	RA	DEC	EXPTIME
Q56F1V1	14:57:29	-27:07:25	40
Q56F2V1	14:57:25	-29:05:49	40
Q56F3V1	15:04:46	-30:03:01	40
Q56F4V1	15:04:41	-28:06:37	40
Q56F1V2	14:57:29	-27:07:25	40
Q56F2V2	14:57:25	-29:05:49	40
Q56F3V2	15:04:46	-30:03:01	40
Q56F4V2	15:04:41	-28:06:37	40
Q56F1V3	14:57:29	-27:07:25	40
Q56F2V3	14:57:25	-29:05:49	40
Q56F3V3	15:04:46	-30:03:01	40
Q56F4V3	15:04:41	-28:06:37	40
Q56F1V4	14:57:29	-27:07:25	40
Q56F2V4	14:57:25	-29:05:49	40
Q56F3V4	15:04:46	-30:03:01	40
Q56F4V4	15:04:41	-28:06:37	40
Q56F1V5	14:57:29	-27:07:25	40
Q56F2V5	14:57:25	-29:05:49	40
Q56F3V5	15:04:46	-30:03:01	40
Q56F4V5	15:04:41	-28:06:37	40
SLEW_QX_QY	15:04:41	-28:06:37	60
