imname	RA	DEC	EXPTIME
Q09F1V1	22:52:56	-11:04:17	40
Q09F4V1	22:52:54	-13:02:41	40
Q09F3V1	22:59:28	-14:01:53	40
Q09F2V1	22:59:27	-12:03:29	40
Q09F1V2	22:52:56	-11:04:17	40
Q09F4V2	22:52:54	-13:02:41	40
Q09F3V2	22:59:28	-14:01:53	40
Q09F2V2	22:59:27	-12:03:29	40
Q09F1V3	22:52:56	-11:04:17	40
Q09F4V3	22:52:54	-13:02:41	40
Q09F3V3	22:59:28	-14:01:53	40
Q09F2V3	22:59:27	-12:03:29	40
Q09F1V4	22:52:56	-11:04:17	40
Q09F4V4	22:52:54	-13:02:41	40
Q09F3V4	22:59:28	-14:01:53	40
Q09F2V4	22:59:27	-12:03:29	40
Q09F1V5	22:52:56	-11:04:17	40
Q09F4V5	22:52:54	-13:02:41	40
Q09F3V5	22:59:28	-14:01:53	40
Q09F2V5	22:59:27	-12:03:29	40
SLEW_QX_QY	22:59:27	-12:03:29	60
