UTC	Airmass
2014-04-29 22:30:00	5.087
2014-04-29 23:00:00	3.385
2014-04-29 23:30:00	2.537
2014-04-30 00:00:00	2.039
2014-04-30 00:30:00	1.717
2014-04-30 01:00:00	1.495
2014-04-30 01:30:00	1.338
2014-04-30 02:00:00	1.224
2014-04-30 02:30:00	1.140
2014-04-30 03:00:00	1.080
2014-04-30 03:30:00	1.039
2014-04-30 04:00:00	1.014
2014-04-30 04:30:00	1.002
2014-04-30 05:00:00	1.004
2014-04-30 05:30:00	1.020
2014-04-30 06:00:00	1.050
2014-04-30 06:30:00	1.096
2014-04-30 07:00:00	1.163
2014-04-30 07:30:00	1.255
2014-04-30 08:00:00	1.380
2014-04-30 08:30:00	1.554
2014-04-30 09:00:00	1.801
2014-04-30 09:30:00	2.166
2014-04-30 10:00:00	2.744
2014-04-30 10:30:00	3.768
2014-04-30 11:00:00	5.980
2014-04-30 11:30:00	12.487
2014-04-30 12:00:00	13.333
