UTC	Airmass
2014-04-29 22:30:00	4.381
2014-04-29 23:00:00	3.006
2014-04-29 23:30:00	2.299
2014-04-30 00:00:00	1.876
2014-04-30 00:30:00	1.600
2014-04-30 01:00:00	1.410
2014-04-30 01:30:00	1.276
2014-04-30 02:00:00	1.179
2014-04-30 02:30:00	1.110
2014-04-30 03:00:00	1.063
2014-04-30 03:30:00	1.033
2014-04-30 04:00:00	1.019
2014-04-30 04:30:00	1.020
2014-04-30 05:00:00	1.036
2014-04-30 05:30:00	1.068
2014-04-30 06:00:00	1.118
2014-04-30 06:30:00	1.190
2014-04-30 07:00:00	1.291
2014-04-30 07:30:00	1.432
2014-04-30 08:00:00	1.631
2014-04-30 08:30:00	1.921
2014-04-30 09:00:00	2.371
2014-04-30 09:30:00	3.134
2014-04-30 10:00:00	4.659
2014-04-30 10:30:00	8.835
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
