imname	RA	DEC	EXPTIME
Q43F1V1	14:40:15	-07:53:49	40
Q43F2V1	14:40:14	-09:50:13	40
Q43F3V1	14:46:43	-10:49:25	40
Q43F4V1	14:46:42	-08:51:01	40
Q43F1V2	14:40:15	-07:53:49	40
Q43F2V2	14:40:14	-09:50:13	40
Q43F3V2	14:46:43	-10:49:25	40
Q43F4V2	14:46:42	-08:51:01	40
Q43F1V3	14:40:15	-07:53:49	40
Q43F2V3	14:40:14	-09:50:13	40
Q43F3V3	14:46:43	-10:49:25	40
Q43F4V3	14:46:42	-08:51:01	40
Q43F1V4	14:40:15	-07:53:49	40
Q43F2V4	14:40:14	-09:50:13	40
Q43F3V4	14:46:43	-10:49:25	40
Q43F4V4	14:46:42	-08:51:01	40
Q43F1V5	14:40:15	-07:53:49	40
Q43F2V5	14:40:14	-09:50:13	40
Q43F3V5	14:46:43	-10:49:25	40
Q43F4V5	14:46:42	-08:51:01	40
SLEW_QX_QY	14:46:42	-08:51:01	60
