UTC	Airmass
2014-04-23 23:00:00	10.935
2014-04-23 23:30:00	5.139
2014-04-24 00:00:00	3.321
2014-04-24 00:30:00	2.478
2014-04-24 01:00:00	2.002
2014-04-24 01:30:00	1.703
2014-04-24 02:00:00	1.504
2014-04-24 02:30:00	1.368
2014-04-24 03:00:00	1.275
2014-04-24 03:30:00	1.213
2014-04-24 04:00:00	1.175
2014-04-24 04:30:00	1.160
2014-04-24 05:00:00	1.165
2014-04-24 05:30:00	1.190
2014-04-24 06:00:00	1.238
2014-04-24 06:30:00	1.314
2014-04-24 07:00:00	1.425
2014-04-24 07:30:00	1.587
2014-04-24 08:00:00	1.826
2014-04-24 08:30:00	2.194
2014-04-24 09:00:00	2.804
2014-04-24 09:30:00	3.971
2014-04-24 10:00:00	6.899
2014-04-24 10:30:00	13.333
2014-04-24 11:00:00	13.333
2014-04-24 11:30:00	13.333
2014-04-24 12:00:00	13.333
2014-04-24 12:30:00	13.333
