UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	12.917
2014-04-29 23:30:00	5.714
2014-04-30 00:00:00	3.537
2014-04-30 00:30:00	2.580
2014-04-30 01:00:00	2.054
2014-04-30 01:30:00	1.728
2014-04-30 02:00:00	1.512
2014-04-30 02:30:00	1.364
2014-04-30 03:00:00	1.261
2014-04-30 03:30:00	1.191
2014-04-30 04:00:00	1.146
2014-04-30 04:30:00	1.122
2014-04-30 05:00:00	1.118
2014-04-30 05:30:00	1.131
2014-04-30 06:00:00	1.165
2014-04-30 06:30:00	1.222
2014-04-30 07:00:00	1.307
2014-04-30 07:30:00	1.430
2014-04-30 08:00:00	1.607
2014-04-30 08:30:00	1.869
2014-04-30 09:00:00	2.276
2014-04-30 09:30:00	2.967
2014-04-30 10:00:00	4.342
2014-04-30 10:30:00	8.104
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
