imname	RA	DEC	EXPTIME
Q35F1V1	14:28:08	-07:31:25	40
Q35F2V1	14:28:07	-09:29:49	40
Q35F3V1	14:34:36	-10:27:01	40
Q35F4V1	14:34:34	-08:30:37	40
Q35F1V2	14:28:08	-07:31:25	40
Q35F2V2	14:28:07	-09:29:49	40
Q35F3V2	14:34:36	-10:27:01	40
Q35F4V2	14:34:34	-08:30:37	40
Q35F1V3	14:28:08	-07:31:25	40
Q35F2V3	14:28:07	-09:29:49	40
Q35F3V3	14:34:36	-10:27:01	40
Q35F4V3	14:34:34	-08:30:37	40
Q35F1V4	14:28:08	-07:31:25	40
Q35F2V4	14:28:07	-09:29:49	40
Q35F3V4	14:34:36	-10:27:01	40
Q35F4V4	14:34:34	-08:30:37	40
Q35F1V5	14:28:08	-07:31:25	40
Q35F2V5	14:28:07	-09:29:49	40
Q35F3V5	14:34:36	-10:27:01	40
Q35F4V5	14:34:34	-08:30:37	40
SLEW_QX_QY	14:34:34	-08:30:37	60
