UTC	Airmass
2014-04-23 23:00:00	8.940
2014-04-23 23:30:00	4.691
2014-04-24 00:00:00	3.148
2014-04-24 00:30:00	2.379
2014-04-24 01:00:00	1.926
2014-04-24 01:30:00	1.634
2014-04-24 02:00:00	1.434
2014-04-24 02:30:00	1.292
2014-04-24 03:00:00	1.191
2014-04-24 03:30:00	1.118
2014-04-24 04:00:00	1.068
2014-04-24 04:30:00	1.036
2014-04-24 05:00:00	1.020
2014-04-24 05:30:00	1.019
2014-04-24 06:00:00	1.033
2014-04-24 06:30:00	1.062
2014-04-24 07:00:00	1.109
2014-04-24 07:30:00	1.178
2014-04-24 08:00:00	1.274
2014-04-24 08:30:00	1.408
2014-04-24 09:00:00	1.597
2014-04-24 09:30:00	1.872
2014-04-24 10:00:00	2.293
2014-04-24 10:30:00	2.995
2014-04-24 11:00:00	4.356
2014-04-24 11:30:00	7.873
2014-04-24 12:00:00	13.333
2014-04-24 12:30:00	13.333
