UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	8.651
2014-04-30 00:00:00	4.507
2014-04-30 00:30:00	3.037
2014-04-30 01:00:00	2.310
2014-04-30 01:30:00	1.884
2014-04-30 02:00:00	1.611
2014-04-30 02:30:00	1.426
2014-04-30 03:00:00	1.297
2014-04-30 03:30:00	1.207
2014-04-30 04:00:00	1.145
2014-04-30 04:30:00	1.106
2014-04-30 05:00:00	1.086
2014-04-30 05:30:00	1.084
2014-04-30 06:00:00	1.100
2014-04-30 06:30:00	1.134
2014-04-30 07:00:00	1.189
2014-04-30 07:30:00	1.272
2014-04-30 08:00:00	1.391
2014-04-30 08:30:00	1.560
2014-04-30 09:00:00	1.808
2014-04-30 09:30:00	2.188
2014-04-30 10:00:00	2.821
2014-04-30 10:30:00	4.037
2014-04-30 11:00:00	7.130
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
