UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	7.635
2014-04-29 23:30:00	4.213
2014-04-30 00:00:00	2.906
2014-04-30 00:30:00	2.235
2014-04-30 01:00:00	1.834
2014-04-30 01:30:00	1.574
2014-04-30 02:00:00	1.395
2014-04-30 02:30:00	1.270
2014-04-30 03:00:00	1.182
2014-04-30 03:30:00	1.121
2014-04-30 04:00:00	1.081
2014-04-30 04:30:00	1.060
2014-04-30 05:00:00	1.056
2014-04-30 05:30:00	1.068
2014-04-30 06:00:00	1.097
2014-04-30 06:30:00	1.146
2014-04-30 07:00:00	1.219
2014-04-30 07:30:00	1.323
2014-04-30 08:00:00	1.470
2014-04-30 08:30:00	1.681
2014-04-30 09:00:00	1.996
2014-04-30 09:30:00	2.498
2014-04-30 10:00:00	3.389
2014-04-30 10:30:00	5.328
2014-04-30 11:00:00	11.533
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
