UTC	Airmass
2014-04-23 23:00:00	13.333
2014-04-23 23:30:00	8.132
2014-04-24 00:00:00	4.353
2014-04-24 00:30:00	2.968
2014-04-24 01:00:00	2.271
2014-04-24 01:30:00	1.860
2014-04-24 02:00:00	1.595
2014-04-24 02:30:00	1.415
2014-04-24 03:00:00	1.289
2014-04-24 03:30:00	1.201
2014-04-24 04:00:00	1.141
2014-04-24 04:30:00	1.104
2014-04-24 05:00:00	1.085
2014-04-24 05:30:00	1.085
2014-04-24 06:00:00	1.101
2014-04-24 06:30:00	1.137
2014-04-24 07:00:00	1.194
2014-04-24 07:30:00	1.279
2014-04-24 08:00:00	1.401
2014-04-24 08:30:00	1.575
2014-04-24 09:00:00	1.830
2014-04-24 09:30:00	2.223
2014-04-24 10:00:00	2.882
2014-04-24 10:30:00	4.167
2014-04-24 11:00:00	7.531
2014-04-24 11:30:00	13.333
2014-04-24 12:00:00	13.333
2014-04-24 12:30:00	13.333
