UTC	Airmass
2014-04-29 22:30:00	5.218
2014-04-29 23:00:00	3.357
2014-04-29 23:30:00	2.485
2014-04-30 00:00:00	1.989
2014-04-30 00:30:00	1.675
2014-04-30 01:00:00	1.463
2014-04-30 01:30:00	1.315
2014-04-30 02:00:00	1.209
2014-04-30 02:30:00	1.135
2014-04-30 03:00:00	1.083
2014-04-30 03:30:00	1.052
2014-04-30 04:00:00	1.036
2014-04-30 04:30:00	1.037
2014-04-30 05:00:00	1.052
2014-04-30 05:30:00	1.085
2014-04-30 06:00:00	1.137
2014-04-30 06:30:00	1.213
2014-04-30 07:00:00	1.320
2014-04-30 07:30:00	1.470
2014-04-30 08:00:00	1.685
2014-04-30 08:30:00	2.004
2014-04-30 09:00:00	2.511
2014-04-30 09:30:00	3.406
2014-04-30 10:00:00	5.338
2014-04-30 10:30:00	11.401
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
