imname	RA	DEC	EXPTIME
Q22F1V1	14:02:00	-18:55:25	40
Q22F2V1	14:01:57	-20:53:49	40
Q22F3V1	14:08:48	-21:51:01	40
Q22F4V1	14:08:46	-19:54:37	40
Q22F1V2	14:02:00	-18:55:25	40
Q22F2V2	14:01:57	-20:53:49	40
Q22F3V2	14:08:48	-21:51:01	40
Q22F4V2	14:08:46	-19:54:37	40
Q22F1V3	14:02:00	-18:55:25	40
Q22F2V3	14:01:57	-20:53:49	40
Q22F3V3	14:08:48	-21:51:01	40
Q22F4V3	14:08:46	-19:54:37	40
Q22F1V4	14:02:00	-18:55:25	40
Q22F2V4	14:01:57	-20:53:49	40
Q22F3V4	14:08:48	-21:51:01	40
Q22F4V4	14:08:46	-19:54:37	40
Q22F1V5	14:02:00	-18:55:25	40
Q22F2V5	14:01:57	-20:53:49	40
Q22F3V5	14:08:48	-21:51:01	40
Q22F4V5	14:08:46	-19:54:37	40
SLEW_QX_QY	14:08:46	-19:54:37	60
