UTC	Airmass
2014-04-29 22:30:00	13.333
2014-04-29 23:00:00	13.333
2014-04-29 23:30:00	10.228
2014-04-30 00:00:00	4.940
2014-04-30 00:30:00	3.227
2014-04-30 01:00:00	2.417
2014-04-30 01:30:00	1.955
2014-04-30 02:00:00	1.663
2014-04-30 02:30:00	1.467
2014-04-30 03:00:00	1.331
2014-04-30 03:30:00	1.237
2014-04-30 04:00:00	1.173
2014-04-30 04:30:00	1.134
2014-04-30 05:00:00	1.114
2014-04-30 05:30:00	1.113
2014-04-30 06:00:00	1.131
2014-04-30 06:30:00	1.169
2014-04-30 07:00:00	1.230
2014-04-30 07:30:00	1.321
2014-04-30 08:00:00	1.452
2014-04-30 08:30:00	1.641
2014-04-30 09:00:00	1.921
2014-04-30 09:30:00	2.362
2014-04-30 10:00:00	3.125
2014-04-30 10:30:00	4.701
2014-04-30 11:00:00	9.352
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
