UTC	Airmass
2014-04-29 22:30:00	2.678
2014-04-29 23:00:00	2.123
2014-04-29 23:30:00	1.771
2014-04-30 00:00:00	1.533
2014-04-30 00:30:00	1.365
2014-04-30 01:00:00	1.243
2014-04-30 01:30:00	1.154
2014-04-30 02:00:00	1.090
2014-04-30 02:30:00	1.046
2014-04-30 03:00:00	1.018
2014-04-30 03:30:00	1.004
2014-04-30 04:00:00	1.004
2014-04-30 04:30:00	1.017
2014-04-30 05:00:00	1.045
2014-04-30 05:30:00	1.089
2014-04-30 06:00:00	1.153
2014-04-30 06:30:00	1.242
2014-04-30 07:00:00	1.363
2014-04-30 07:30:00	1.531
2014-04-30 08:00:00	1.768
2014-04-30 08:30:00	2.118
2014-04-30 09:00:00	2.669
2014-04-30 09:30:00	3.636
2014-04-30 10:00:00	5.685
2014-04-30 10:30:00	11.711
2014-04-30 11:00:00	13.333
2014-04-30 11:30:00	13.333
2014-04-30 12:00:00	13.333
