UTC	Airmass
2014-04-23 23:00:00	2.917
2014-04-23 23:30:00	2.285
2014-04-24 00:00:00	1.888
2014-04-24 00:30:00	1.620
2014-04-24 01:00:00	1.431
2014-04-24 01:30:00	1.294
2014-04-24 02:00:00	1.193
2014-04-24 02:30:00	1.119
2014-04-24 03:00:00	1.066
2014-04-24 03:30:00	1.030
2014-04-24 04:00:00	1.008
2014-04-24 04:30:00	1.000
2014-04-24 05:00:00	1.005
2014-04-24 05:30:00	1.023
2014-04-24 06:00:00	1.054
2014-04-24 06:30:00	1.102
2014-04-24 07:00:00	1.170
2014-04-24 07:30:00	1.263
2014-04-24 08:00:00	1.389
2014-04-24 08:30:00	1.561
2014-04-24 09:00:00	1.803
2014-04-24 09:30:00	2.157
2014-04-24 10:00:00	2.708
2014-04-24 10:30:00	3.653
2014-04-24 11:00:00	5.585
2014-04-24 11:30:00	10.894
2014-04-24 12:00:00	13.333
2014-04-24 12:30:00	13.333
