imname	RA	DEC	EXPTIME
N20140422F45V1	14:08:15	-05:01:21	40
N20140422F46V1	14:08:14	-06:59:45	40
N20140422F47V1	14:14:41	-07:58:57	40
N20140422F48V1	14:14:40	-05:60:33	40
N20140422F45V2	14:08:15	-05:01:21	40
N20140422F46V2	14:08:14	-06:59:45	40
N20140422F47V2	14:14:41	-07:58:57	40
N20140422F48V2	14:14:40	-05:60:33	40
N20140422F45V3	14:08:15	-05:01:21	40
N20140422F46V3	14:08:14	-06:59:45	40
N20140422F47V3	14:14:41	-07:58:57	40
N20140422F48V3	14:14:40	-05:60:33	40
N20140422F45V4	14:08:15	-05:01:21	40
N20140422F46V4	14:08:14	-06:59:45	40
N20140422F47V4	14:14:41	-07:58:57	40
N20140422F48V4	14:14:40	-05:60:33	40
N20140422F45V5	14:08:15	-05:01:21	40
N20140422F46V5	14:08:14	-06:59:45	40
N20140422F47V5	14:14:41	-07:58:57	40
N20140422F48V5	14:14:40	-05:60:33	40
SLEW_QX_QY	14:14:40	-05:60:33	60
