imname	RA	DEC	EXPTIME
N20140422Q14F53V1	13:48:59	-18:55:25	40
N20140422Q14F54V1	13:48:56	-20:53:49	40
N20140422Q14F55V1	13:55:47	-21:51:01	40
N20140422Q14F56V1	13:55:45	-19:54:37	40
N20140422Q14F53V2	13:48:59	-18:55:25	40
N20140422Q14F54V2	13:48:56	-20:53:49	40
N20140422Q14F55V2	13:55:47	-21:51:01	40
N20140422Q14F56V2	13:55:45	-19:54:37	40
N20140422Q14F53V3	13:48:59	-18:55:25	40
N20140422Q14F54V3	13:48:56	-20:53:49	40
N20140422Q14F55V3	13:55:47	-21:51:01	40
N20140422Q14F56V3	13:55:45	-19:54:37	40
N20140422Q14F53V4	13:48:59	-18:55:25	40
N20140422Q14F54V4	13:48:56	-20:53:49	40
N20140422Q14F55V4	13:55:47	-21:51:01	40
N20140422Q14F56V4	13:55:45	-19:54:37	40
N20140422Q14F53V5	13:48:59	-18:55:25	40
N20140422Q14F54V5	13:48:56	-20:53:49	40
N20140422Q14F55V5	13:55:47	-21:51:01	40
N20140422Q14F56V5	13:55:45	-19:54:37	40
SLEW_QX_QY	13:55:45	-19:54:37	60
