imname	RA	DEC	EXPTIME
N20140422Q39F153V1	14:20:31	-21:58:30	40
N20140422Q39F154V1	14:20:28	-23:56:54	40
N20140422Q39F155V1	14:27:28	-24:54:06	40
N20140422Q39F156V1	14:27:25	-22:57:42	40
N20140422Q39F153V2	14:20:31	-21:58:30	40
N20140422Q39F154V2	14:20:28	-23:56:54	40
N20140422Q39F155V2	14:27:28	-24:54:06	40
N20140422Q39F156V2	14:27:25	-22:57:42	40
N20140422Q39F153V3	14:20:31	-21:58:30	40
N20140422Q39F154V3	14:20:28	-23:56:54	40
N20140422Q39F155V3	14:27:28	-24:54:06	40
N20140422Q39F156V3	14:27:25	-22:57:42	40
N20140422Q39F153V4	14:20:31	-21:58:30	40
N20140422Q39F154V4	14:20:28	-23:56:54	40
N20140422Q39F155V4	14:27:28	-24:54:06	40
N20140422Q39F156V4	14:27:25	-22:57:42	40
N20140422Q39F153V5	14:20:31	-21:58:30	40
N20140422Q39F154V5	14:20:28	-23:56:54	40
N20140422Q39F155V5	14:27:28	-24:54:06	40
N20140422Q39F156V5	14:27:25	-22:57:42	40
SLEW_QX_QY	14:27:25	-22:57:42	60
