imname	RA	DEC	EXPTIME
N20140422Q17F65V1	14:03:20	-00:31:25	40
N20140422Q17F66V1	14:03:20	-02:29:49	40
N20140422Q17F67V1	14:09:43	-03:27:01	40
N20140422Q17F68V1	14:09:43	-01:30:37	40
N20140422Q17F65V2	14:03:20	-00:31:25	40
N20140422Q17F66V2	14:03:20	-02:29:49	40
N20140422Q17F67V2	14:09:43	-03:27:01	40
N20140422Q17F68V2	14:09:43	-01:30:37	40
N20140422Q17F65V3	14:03:20	-00:31:25	40
N20140422Q17F66V3	14:03:20	-02:29:49	40
N20140422Q17F67V3	14:09:43	-03:27:01	40
N20140422Q17F68V3	14:09:43	-01:30:37	40
N20140422Q17F65V4	14:03:20	-00:31:25	40
N20140422Q17F66V4	14:03:20	-02:29:49	40
N20140422Q17F67V4	14:09:43	-03:27:01	40
N20140422Q17F68V4	14:09:43	-01:30:37	40
N20140422Q17F65V5	14:03:20	-00:31:25	40
N20140422Q17F66V5	14:03:20	-02:29:49	40
N20140422Q17F67V5	14:09:43	-03:27:01	40
N20140422Q17F68V5	14:09:43	-01:30:37	40
SLEW_QX_QY	14:09:43	-01:30:37	60
