imname	RA	DEC	EXPTIME
N20140422Q44F173V1	14:32:49	-10:56:54	40
N20140422Q44F174V1	14:32:48	-12:53:18	40
N20140422Q44F175V1	14:39:22	-13:52:30	40
N20140422Q44F176V1	14:39:20	-11:54:06	40
N20140422Q44F173V2	14:32:49	-10:56:54	40
N20140422Q44F174V2	14:32:48	-12:53:18	40
N20140422Q44F175V2	14:39:22	-13:52:30	40
N20140422Q44F176V2	14:39:20	-11:54:06	40
N20140422Q44F173V3	14:32:49	-10:56:54	40
N20140422Q44F174V3	14:32:48	-12:53:18	40
N20140422Q44F175V3	14:39:22	-13:52:30	40
N20140422Q44F176V3	14:39:20	-11:54:06	40
N20140422Q44F173V4	14:32:49	-10:56:54	40
N20140422Q44F174V4	14:32:48	-12:53:18	40
N20140422Q44F175V4	14:39:22	-13:52:30	40
N20140422Q44F176V4	14:39:20	-11:54:06	40
N20140422Q44F173V5	14:32:49	-10:56:54	40
N20140422Q44F174V5	14:32:48	-12:53:18	40
N20140422Q44F175V5	14:39:22	-13:52:30	40
N20140422Q44F176V5	14:39:20	-11:54:06	40
SLEW_QX_QY	14:39:20	-11:54:06	60
