imname	RA	DEC	EXPTIME
N20140422F29V1	13:55:54	-08:42:33	40
N20140422F30V1	13:55:52	-10:40:57	40
N20140422F31V1	14:02:23	-11:38:09	40
N20140422F32V1	14:02:22	-09:41:45	40
N20140422F29V2	13:55:54	-08:42:33	40
N20140422F30V2	13:55:52	-10:40:57	40
N20140422F31V2	14:02:23	-11:38:09	40
N20140422F32V2	14:02:22	-09:41:45	40
N20140422F29V3	13:55:54	-08:42:33	40
N20140422F30V3	13:55:52	-10:40:57	40
N20140422F31V3	14:02:23	-11:38:09	40
N20140422F32V3	14:02:22	-09:41:45	40
N20140422F29V4	13:55:54	-08:42:33	40
N20140422F30V4	13:55:52	-10:40:57	40
N20140422F31V4	14:02:23	-11:38:09	40
N20140422F32V4	14:02:22	-09:41:45	40
N20140422F29V5	13:55:54	-08:42:33	40
N20140422F30V5	13:55:52	-10:40:57	40
N20140422F31V5	14:02:23	-11:38:09	40
N20140422F32V5	14:02:22	-09:41:45	40
SLEW_QX_QY	14:02:22	-09:41:45	60
