imname	RA	DEC	EXPTIME
N20140422Q2F5V1	13:31:08	-03:34:30	40
N20140422Q2F6V1	13:31:08	-05:32:54	40
N20140422Q2F7V1	13:37:33	-06:30:06	40
N20140422Q2F8V1	13:37:32	-04:33:42	40
N20140422Q2F5V2	13:31:08	-03:34:30	40
N20140422Q2F6V2	13:31:08	-05:32:54	40
N20140422Q2F7V2	13:37:33	-06:30:06	40
N20140422Q2F8V2	13:37:32	-04:33:42	40
N20140422Q2F5V3	13:31:08	-03:34:30	40
N20140422Q2F6V3	13:31:08	-05:32:54	40
N20140422Q2F7V3	13:37:33	-06:30:06	40
N20140422Q2F8V3	13:37:32	-04:33:42	40
N20140422Q2F5V4	13:31:08	-03:34:30	40
N20140422Q2F6V4	13:31:08	-05:32:54	40
N20140422Q2F7V4	13:37:33	-06:30:06	40
N20140422Q2F8V4	13:37:32	-04:33:42	40
N20140422Q2F5V5	13:31:08	-03:34:30	40
N20140422Q2F6V5	13:31:08	-05:32:54	40
N20140422Q2F7V5	13:37:33	-06:30:06	40
N20140422Q2F8V5	13:37:32	-04:33:42	40
SLEW_QX_QY	13:37:32	-04:33:42	60
