imname	RA	DEC	EXPTIME
N20140422Q8F29V1	13:25:51	-25:39:42	40
N20140422Q8F30V1	13:25:47	-27:36:06	40
N20140422Q8F31V1	13:33:01	-28:35:18	40
N20140422Q8F32V1	13:32:58	-26:38:54	40
N20140422Q8F29V2	13:25:51	-25:39:42	40
N20140422Q8F30V2	13:25:47	-27:36:06	40
N20140422Q8F31V2	13:33:01	-28:35:18	40
N20140422Q8F32V2	13:32:58	-26:38:54	40
N20140422Q8F29V3	13:25:51	-25:39:42	40
N20140422Q8F30V3	13:25:47	-27:36:06	40
N20140422Q8F31V3	13:33:01	-28:35:18	40
N20140422Q8F32V3	13:32:58	-26:38:54	40
N20140422Q8F29V4	13:25:51	-25:39:42	40
N20140422Q8F30V4	13:25:47	-27:36:06	40
N20140422Q8F31V4	13:33:01	-28:35:18	40
N20140422Q8F32V4	13:32:58	-26:38:54	40
N20140422Q8F29V5	13:25:51	-25:39:42	40
N20140422Q8F30V5	13:25:47	-27:36:06	40
N20140422Q8F31V5	13:33:01	-28:35:18	40
N20140422Q8F32V5	13:32:58	-26:38:54	40
SLEW_QX_QY	13:32:58	-26:38:54	60
