imname	RA	DEC	EXPTIME
N20140422Q11F41V1	13:50:42	-07:53:49	40
N20140422Q11F42V1	13:50:41	-09:50:13	40
N20140422Q11F43V1	13:57:10	-10:49:25	40
N20140422Q11F44V1	13:57:09	-08:51:01	40
N20140422Q11F41V2	13:50:42	-07:53:49	40
N20140422Q11F42V2	13:50:41	-09:50:13	40
N20140422Q11F43V2	13:57:10	-10:49:25	40
N20140422Q11F44V2	13:57:09	-08:51:01	40
N20140422Q11F41V3	13:50:42	-07:53:49	40
N20140422Q11F42V3	13:50:41	-09:50:13	40
N20140422Q11F43V3	13:57:10	-10:49:25	40
N20140422Q11F44V3	13:57:09	-08:51:01	40
N20140422Q11F41V4	13:50:42	-07:53:49	40
N20140422Q11F42V4	13:50:41	-09:50:13	40
N20140422Q11F43V4	13:57:10	-10:49:25	40
N20140422Q11F44V4	13:57:09	-08:51:01	40
N20140422Q11F41V5	13:50:42	-07:53:49	40
N20140422Q11F42V5	13:50:41	-09:50:13	40
N20140422Q11F43V5	13:57:10	-10:49:25	40
N20140422Q11F44V5	13:57:09	-08:51:01	40
SLEW_QX_QY	13:57:09	-08:51:01	60
