Q11F3V2	22:27:15	-14:34:5	40	1.284	2014-04-25T10:22:40
Q11F2V2	22:27:13	-12:36:3	40	1.298	2014-04-25T10:23:50
Q11F1V3	22:20:41	-11:37:2	40	1.280	2014-04-25T10:25:00
Q11F4V3	22:20:40	-13:35:4	40	1.257	2014-04-25T10:26:10
Q11F3V3	22:27:15	-14:34:5	40	1.267	2014-04-25T10:27:20
Q11F2V3	22:27:13	-12:36:3	40	1.281	2014-04-25T10:28:30
Q11F1V4	22:20:41	-11:37:2	40	1.263	2014-04-25T10:29:40
Q11F4V4	22:20:40	-13:35:4	40	1.241	2014-04-25T10:30:50
Q11F3V4	22:27:15	-14:34:5	40	1.251	2014-04-25T10:32:00
Q11F2V4	22:27:13	-12:36:3	40	1.264	2014-04-25T10:33:10
Q11F1V5	22:20:41	-11:37:2	40	1.248	2014-04-25T10:34:20
Q11F4V5	22:20:40	-13:35:4	40	1.226	2014-04-25T10:35:30
Q11F3V5	22:27:15	-14:34:5	40	1.235	2014-04-25T10:36:40
Q11F2V5	22:27:13	-12:36:3	40	1.248	2014-04-25T10:37:50
SLEW_QX_QY	22:27:13	-12:36:3	60	1.243	2014-04-25T10:39:20
