imname	RA	DEC	EXPTIME
N20140422Q34F133V1	14:27:50	-04:12:37	40
N20140422Q34F134V1	14:27:50	-06:09:01	40
N20140422Q34F135V1	14:34:15	-07:08:13	40
N20140422Q34F136V1	14:34:15	-05:11:49	40
N20140422Q34F133V2	14:27:50	-04:12:37	40
N20140422Q34F134V2	14:27:50	-06:09:01	40
N20140422Q34F135V2	14:34:15	-07:08:13	40
N20140422Q34F136V2	14:34:15	-05:11:49	40
N20140422Q34F133V3	14:27:50	-04:12:37	40
N20140422Q34F134V3	14:27:50	-06:09:01	40
N20140422Q34F135V3	14:34:15	-07:08:13	40
N20140422Q34F136V3	14:34:15	-05:11:49	40
N20140422Q34F133V4	14:27:50	-04:12:37	40
N20140422Q34F134V4	14:27:50	-06:09:01	40
N20140422Q34F135V4	14:34:15	-07:08:13	40
N20140422Q34F136V4	14:34:15	-05:11:49	40
N20140422Q34F133V5	14:27:50	-04:12:37	40
N20140422Q34F134V5	14:27:50	-06:09:01	40
N20140422Q34F135V5	14:34:15	-07:08:13	40
N20140422Q34F136V5	14:34:15	-05:11:49	40
SLEW_QX_QY	14:34:15	-05:11:49	60
