imname	RA	DEC	EXPTIME
N20140422Q60F237V1	15:05:31	-11:33:01	40
N20140422Q60F238V1	15:05:30	-13:31:25	40
N20140422Q60F239V1	15:12:04	-14:30:37	40
N20140422Q60F240V1	15:12:03	-12:32:13	40
N20140422Q60F237V2	15:05:31	-11:33:01	40
N20140422Q60F238V2	15:05:30	-13:31:25	40
N20140422Q60F239V2	15:12:04	-14:30:37	40
N20140422Q60F240V2	15:12:03	-12:32:13	40
N20140422Q60F237V3	15:05:31	-11:33:01	40
N20140422Q60F238V3	15:05:30	-13:31:25	40
N20140422Q60F239V3	15:12:04	-14:30:37	40
N20140422Q60F240V3	15:12:03	-12:32:13	40
N20140422Q60F237V4	15:05:31	-11:33:01	40
N20140422Q60F238V4	15:05:30	-13:31:25	40
N20140422Q60F239V4	15:12:04	-14:30:37	40
N20140422Q60F240V4	15:12:03	-12:32:13	40
N20140422Q60F237V5	15:05:31	-11:33:01	40
N20140422Q60F238V5	15:05:30	-13:31:25	40
N20140422Q60F239V5	15:12:04	-14:30:37	40
N20140422Q60F240V5	15:12:03	-12:32:13	40
SLEW_QX_QY	15:12:03	-12:32:13	60
