imname	RA	DEC	EXPTIME
N20140422Q46F181V1	14:41:03	-18:55:25	40
N20140422Q46F182V1	14:41:00	-20:53:49	40
N20140422Q46F183V1	14:47:51	-21:51:01	40
N20140422Q46F184V1	14:47:49	-19:54:37	40
N20140422Q46F181V2	14:41:03	-18:55:25	40
N20140422Q46F182V2	14:41:00	-20:53:49	40
N20140422Q46F183V2	14:47:51	-21:51:01	40
N20140422Q46F184V2	14:47:49	-19:54:37	40
N20140422Q46F181V3	14:41:03	-18:55:25	40
N20140422Q46F182V3	14:41:00	-20:53:49	40
N20140422Q46F183V3	14:47:51	-21:51:01	40
N20140422Q46F184V3	14:47:49	-19:54:37	40
N20140422Q46F181V4	14:41:03	-18:55:25	40
N20140422Q46F182V4	14:41:00	-20:53:49	40
N20140422Q46F183V4	14:47:51	-21:51:01	40
N20140422Q46F184V4	14:47:49	-19:54:37	40
N20140422Q46F181V5	14:41:03	-18:55:25	40
N20140422Q46F182V5	14:41:00	-20:53:49	40
N20140422Q46F183V5	14:47:51	-21:51:01	40
N20140422Q46F184V5	14:47:49	-19:54:37	40
SLEW_QX_QY	14:47:49	-19:54:37	60
