imname	RA	DEC	EXPTIME
N20140422Q21F81V1	14:02:28	-15:14:13	40
N20140422Q21F82V1	14:02:26	-17:12:37	40
N20140422Q21F83V1	14:09:08	-18:11:49	40
N20140422Q21F84V1	14:09:06	-16:13:25	40
N20140422Q21F81V2	14:02:28	-15:14:13	40
N20140422Q21F82V2	14:02:26	-17:12:37	40
N20140422Q21F83V2	14:09:08	-18:11:49	40
N20140422Q21F84V2	14:09:06	-16:13:25	40
N20140422Q21F81V3	14:02:28	-15:14:13	40
N20140422Q21F82V3	14:02:26	-17:12:37	40
N20140422Q21F83V3	14:09:08	-18:11:49	40
N20140422Q21F84V3	14:09:06	-16:13:25	40
N20140422Q21F81V4	14:02:28	-15:14:13	40
N20140422Q21F82V4	14:02:26	-17:12:37	40
N20140422Q21F83V4	14:09:08	-18:11:49	40
N20140422Q21F84V4	14:09:06	-16:13:25	40
N20140422Q21F81V5	14:02:28	-15:14:13	40
N20140422Q21F82V5	14:02:26	-17:12:37	40
N20140422Q21F83V5	14:09:08	-18:11:49	40
N20140422Q21F84V5	14:09:06	-16:13:25	40
SLEW_QX_QY	14:09:06	-16:13:25	60
