imname	RA	DEC	EXPTIME
N20140422F77V1	14:21:18	-16:04:57	40
N20140422F78V1	14:21:16	-18:01:21	40
N20140422F79V1	14:28:00	-18:60:33	40
N20140422F80V1	14:27:58	-17:02:09	40
N20140422F77V2	14:21:18	-16:04:57	40
N20140422F78V2	14:21:16	-18:01:21	40
N20140422F79V2	14:28:00	-18:60:33	40
N20140422F80V2	14:27:58	-17:02:09	40
N20140422F77V3	14:21:18	-16:04:57	40
N20140422F78V3	14:21:16	-18:01:21	40
N20140422F79V3	14:28:00	-18:60:33	40
N20140422F80V3	14:27:58	-17:02:09	40
N20140422F77V4	14:21:18	-16:04:57	40
N20140422F78V4	14:21:16	-18:01:21	40
N20140422F79V4	14:28:00	-18:60:33	40
N20140422F80V4	14:27:58	-17:02:09	40
N20140422F77V5	14:21:18	-16:04:57	40
N20140422F78V5	14:21:16	-18:01:21	40
N20140422F79V5	14:28:00	-18:60:33	40
N20140422F80V5	14:27:58	-17:02:09	40
SLEW_QX_QY	14:27:58	-17:02:09	60
