imname	RA	DEC	EXPTIME
N20140422Q1F1V1	13:38:51	-00:31:25	40
N20140422Q1F2V1	13:38:51	-02:29:49	40
N20140422Q1F3V1	13:45:14	-03:27:01	40
N20140422Q1F4V1	13:45:14	-01:30:37	40
N20140422Q1F1V2	13:38:51	-00:31:25	40
N20140422Q1F2V2	13:38:51	-02:29:49	40
N20140422Q1F3V2	13:45:14	-03:27:01	40
N20140422Q1F4V2	13:45:14	-01:30:37	40
N20140422Q1F1V3	13:38:51	-00:31:25	40
N20140422Q1F2V3	13:38:51	-02:29:49	40
N20140422Q1F3V3	13:45:14	-03:27:01	40
N20140422Q1F4V3	13:45:14	-01:30:37	40
N20140422Q1F1V4	13:38:51	-00:31:25	40
N20140422Q1F2V4	13:38:51	-02:29:49	40
N20140422Q1F3V4	13:45:14	-03:27:01	40
N20140422Q1F4V4	13:45:14	-01:30:37	40
N20140422Q1F1V5	13:38:51	-00:31:25	40
N20140422Q1F2V5	13:38:51	-02:29:49	40
N20140422Q1F3V5	13:45:14	-03:27:01	40
N20140422Q1F4V5	13:45:14	-01:30:37	40
SLEW_QX_QY	13:45:14	-01:30:37	60
