imname	RA	DEC	EXPTIME
N20140422F61V1	14:20:28	-01:20:09	40
N20140422F62V1	14:20:28	-03:18:33	40
N20140422F63V1	14:26:52	-04:17:45	40
N20140422F64V1	14:26:51	-02:19:21	40
N20140422F61V2	14:20:28	-01:20:09	40
N20140422F62V2	14:20:28	-03:18:33	40
N20140422F63V2	14:26:52	-04:17:45	40
N20140422F64V2	14:26:51	-02:19:21	40
N20140422F61V3	14:20:28	-01:20:09	40
N20140422F62V3	14:20:28	-03:18:33	40
N20140422F63V3	14:26:52	-04:17:45	40
N20140422F64V3	14:26:51	-02:19:21	40
N20140422F61V4	14:20:28	-01:20:09	40
N20140422F62V4	14:20:28	-03:18:33	40
N20140422F63V4	14:26:52	-04:17:45	40
N20140422F64V4	14:26:51	-02:19:21	40
N20140422F61V5	14:20:28	-01:20:09	40
N20140422F62V5	14:20:28	-03:18:33	40
N20140422F63V5	14:26:52	-04:17:45	40
N20140422F64V5	14:26:51	-02:19:21	40
SLEW_QX_QY	14:26:51	-02:19:21	60
