imname	RA	DEC	EXPTIME
N20140422F13V1	13:43:14	-12:23:45	40
N20140422F14V1	13:43:12	-14:20:09	40
N20140422F15V1	13:49:49	-15:19:21	40
N20140422F16V1	13:49:47	-13:22:57	40
N20140422F13V2	13:43:14	-12:23:45	40
N20140422F14V2	13:43:12	-14:20:09	40
N20140422F15V2	13:49:49	-15:19:21	40
N20140422F16V2	13:49:47	-13:22:57	40
N20140422F13V3	13:43:14	-12:23:45	40
N20140422F14V3	13:43:12	-14:20:09	40
N20140422F15V3	13:49:49	-15:19:21	40
N20140422F16V3	13:49:47	-13:22:57	40
N20140422F13V4	13:43:14	-12:23:45	40
N20140422F14V4	13:43:12	-14:20:09	40
N20140422F15V4	13:49:49	-15:19:21	40
N20140422F16V4	13:49:47	-13:22:57	40
N20140422F13V5	13:43:14	-12:23:45	40
N20140422F14V5	13:43:12	-14:20:09	40
N20140422F15V5	13:49:49	-15:19:21	40
N20140422F16V5	13:49:47	-13:22:57	40
SLEW_QX_QY	13:49:47	-13:22:57	60
