imname	RA	DEC	EXPTIME
N20140422F37V1	13:55:42	-16:04:57	40
N20140422F38V1	13:55:40	-18:01:21	40
N20140422F39V1	14:02:24	-18:60:33	40
N20140422F40V1	14:02:22	-17:02:09	40
N20140422F37V2	13:55:42	-16:04:57	40
N20140422F38V2	13:55:40	-18:01:21	40
N20140422F39V2	14:02:24	-18:60:33	40
N20140422F40V2	14:02:22	-17:02:09	40
N20140422F37V3	13:55:42	-16:04:57	40
N20140422F38V3	13:55:40	-18:01:21	40
N20140422F39V3	14:02:24	-18:60:33	40
N20140422F40V3	14:02:22	-17:02:09	40
N20140422F37V4	13:55:42	-16:04:57	40
N20140422F38V4	13:55:40	-18:01:21	40
N20140422F39V4	14:02:24	-18:60:33	40
N20140422F40V4	14:02:22	-17:02:09	40
N20140422F37V5	13:55:42	-16:04:57	40
N20140422F38V5	13:55:40	-18:01:21	40
N20140422F39V5	14:02:24	-18:60:33	40
N20140422F40V5	14:02:22	-17:02:09	40
SLEW_QX_QY	14:02:22	-17:02:09	60
