imname	RA	DEC	EXPTIME
N20140422F65V1	14:20:34	-05:01:21	40
N20140422F66V1	14:20:33	-06:59:45	40
N20140422F67V1	14:26:59	-07:58:57	40
N20140422F68V1	14:26:58	-05:60:33	40
N20140422F65V2	14:20:34	-05:01:21	40
N20140422F66V2	14:20:33	-06:59:45	40
N20140422F67V2	14:26:59	-07:58:57	40
N20140422F68V2	14:26:58	-05:60:33	40
N20140422F65V3	14:20:34	-05:01:21	40
N20140422F66V3	14:20:33	-06:59:45	40
N20140422F67V3	14:26:59	-07:58:57	40
N20140422F68V3	14:26:58	-05:60:33	40
N20140422F65V4	14:20:34	-05:01:21	40
N20140422F66V4	14:20:33	-06:59:45	40
N20140422F67V4	14:26:59	-07:58:57	40
N20140422F68V4	14:26:58	-05:60:33	40
N20140422F65V5	14:20:34	-05:01:21	40
N20140422F66V5	14:20:33	-06:59:45	40
N20140422F67V5	14:26:59	-07:58:57	40
N20140422F68V5	14:26:58	-05:60:33	40
SLEW_QX_QY	14:26:58	-05:60:33	60
