imname	RA	DEC	EXPTIME
N20140422F1V1	13:43:43	-01:20:09	40
N20140422F2V1	13:43:43	-03:18:33	40
N20140422F3V1	13:50:07	-04:17:45	40
N20140422F4V1	13:50:06	-02:19:21	40
N20140422F1V2	13:43:43	-01:20:09	40
N20140422F2V2	13:43:43	-03:18:33	40
N20140422F3V2	13:50:07	-04:17:45	40
N20140422F4V2	13:50:06	-02:19:21	40
N20140422F1V3	13:43:43	-01:20:09	40
N20140422F2V3	13:43:43	-03:18:33	40
N20140422F3V3	13:50:07	-04:17:45	40
N20140422F4V3	13:50:06	-02:19:21	40
N20140422F1V4	13:43:43	-01:20:09	40
N20140422F2V4	13:43:43	-03:18:33	40
N20140422F3V4	13:50:07	-04:17:45	40
N20140422F4V4	13:50:06	-02:19:21	40
N20140422F1V5	13:43:43	-01:20:09	40
N20140422F2V5	13:43:43	-03:18:33	40
N20140422F3V5	13:50:07	-04:17:45	40
N20140422F4V5	13:50:06	-02:19:21	40
SLEW_QX_QY	13:50:06	-02:19:21	60
