imname	RA	DEC	EXPTIME
N20140422Q18F69V1	14:03:15	-04:12:37	40
N20140422Q18F70V1	14:03:15	-06:09:01	40
N20140422Q18F71V1	14:09:40	-07:08:13	40
N20140422Q18F72V1	14:09:40	-05:11:49	40
N20140422Q18F69V2	14:03:15	-04:12:37	40
N20140422Q18F70V2	14:03:15	-06:09:01	40
N20140422Q18F71V2	14:09:40	-07:08:13	40
N20140422Q18F72V2	14:09:40	-05:11:49	40
N20140422Q18F69V3	14:03:15	-04:12:37	40
N20140422Q18F70V3	14:03:15	-06:09:01	40
N20140422Q18F71V3	14:09:40	-07:08:13	40
N20140422Q18F72V3	14:09:40	-05:11:49	40
N20140422Q18F69V4	14:03:15	-04:12:37	40
N20140422Q18F70V4	14:03:15	-06:09:01	40
N20140422Q18F71V4	14:09:40	-07:08:13	40
N20140422Q18F72V4	14:09:40	-05:11:49	40
N20140422Q18F69V5	14:03:15	-04:12:37	40
N20140422Q18F70V5	14:03:15	-06:09:01	40
N20140422Q18F71V5	14:09:40	-07:08:13	40
N20140422Q18F72V5	14:09:40	-05:11:49	40
SLEW_QX_QY	14:09:40	-05:11:49	60
